,name,rating,brand,perfumer,gender,types,scent1,scent2,scent3,scent4,scent5
31,"宝格丽 红茶
Bvlgari Eau Parfumee au The Rouge, 2006",8.8 分 1151 人评价,宝格丽,Olivier Polge,中性香,木质东方调,茶叶,粉红胡椒,无花果,核桃,香柠檬
32,"迪奥 沙丘女士
Dior Dune, 1991",9.1 分 614 人评价,迪奥,Nejla Barbir,女香,木质东方调,巴西红木,檀香木,琥珀,醛,安息香脂
33,"宾利 黑色尊爵
Bentley For Men Absolute, 2014",9.1 分 580 人评价,宾利,Michel Almairac,男香,木质东方调,乳香,檀香木,纸莎草,沉香(乌木),雪松
34,"艾克卡帕 白麝香（白苔）
Acca Kappa White Moss, 1997",9 分 713 人评价,艾克卡帕,None,中性香,馥奇香调,杜松子,麝香,薰衣草,香柠檬,柠檬
35,"宝格丽 水能量（碧蓝）
Bvlgari Aqva Pour Homme, 2005",8.8 分 1220 人评价,宝格丽,Jacques Cavallier,男香,水生馥奇香调,海藻,橘子,橙子,雪松,苦橙叶
36,"迪奥 桀骜清新古龙
Dior Homme Cologne, 2013",9.2 分 495 人评价,迪奥,Francois Demachy,男香,柑橘馥奇香调,香柠檬,西柚花,麝香,生姜,柠檬
37,"斯特拉 同名女士
Stella McCartney Stella, 2003",9.1 分 554 人评价,斯特拉,Jacques Cavallier,女香,花香调,玫瑰,牡丹,琥珀,橘子,None
38,"娇兰 圣莎拉
Guerlain Samsara Eau de Parfum, 1989",9.3 分 421 人评价,娇兰,Jean-Paul Guerlain,女香,木质东方调,檀香木,依兰,香草,鸢尾花,茉莉
39,"祖玛珑 英国梨与小苍兰
Jo Malone English Pear & Freesia, 2010",8.7 分 2650 人评价,祖玛珑,Christine Nagel,女香,果香甘苔调,梨,小苍兰,玫瑰,广藿香,麝香
40,"爱马仕 血色大黄
Hermes Eau de Rhubarbe Ecarlate, 2016",9 分 563 人评价,爱马仕,Christine Nagel,中性香,None,红浆果,大黄,麝香,香柠檬,梨
41,"浪凡 光韵
Lanvin Eclat d'Arpège, 2002",8.7 分 2258 人评价,浪凡,Karine Dubreuil,女香,花香果香调,紫丁香,茶叶,牡丹,桃花,麝香
